,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4038,Ciro Immobile,Centre-Forward,26,Sevilla FC,LaLiga,Lazio,Italy Serie A,17,10.0,9.45,1
4039,Matej Vydra,Centre-Forward,24,Watford,Premier League,Derby,English League Championship,17,5.5,9.4,1
4040,Alex Pritchard,Attacking Midfield,23,Spurs,Premier League,Norwich,English League Championship,17,3.0,9.4,2
4041,James Chester,Centre-Back,27,West Brom,Premier League,Aston Villa,English League Championship,17,6.0,9.3,3
4042,Walace,Defensive Midfield,21,Grêmio,Italy Serie A,Hamburger SV,German Bundesliga,17,9.0,9.2,2
4043,José Fonte,Centre-Back,33,Southampton,Premier League,West Ham,Premier League,17,6.0,9.2,3
4044,Nicolás López,Centre-Forward,22,Udinese Calcio,Italy Serie A,Internacional,Italy Serie A,17,3.0,9.09,1
4045,Hongbo Yin,Right Midfield,27,HN Jianye,Super League Greece,HB CFFC,Super League Greece,17,0.225,9.05,2
4046,Miranda,Centre-Back,31,Atlético Madrid,LaLiga,Inter,Italy Serie A,17,16.0,9.0,3
4047,Adem Ljajic,Attacking Midfield,24,AS Roma,Italy Serie A,Torino,Italy Serie A,17,12.0,9.0,2
4048,Morgan Sanson,Central Midfield,22,Montpellier,French Ligue 1,Marseille,French Ligue 1,17,10.0,9.0,2
4049,Antonio Rüdiger,Centre-Back,23,VfB Stuttgart,German Bundesliga 2,AS Roma,Italy Serie A,17,10.0,9.0,3
4050,Diego Perotti,Left Winger,27,Genoa,Italy Serie A,AS Roma,Italy Serie A,17,9.5,9.0,1
4051,Sven Kums,Defensive Midfield,28,KAA Gent,Jupiler Pro League(Belgium),Watford,Premier League,17,7.5,9.0,2
4052,Gianluca Lapadula,Centre-Forward,26,Pescara,Italy Serie A,AC Milan,Italy Serie A,17,6.5,9.0,1
4053,Kamil Grosicki,Right Winger,28,Stade Rennais,French Ligue 1,Hull City,Premier League,17,6.0,9.0,1
4054,Daryl Janmaat,Right-Back,27,Newcastle,English League Championship,Watford,Premier League,17,7.5,8.9,3
4055,Roger Martínez,Centre-Forward,22,Racing Club,LaLiga,JS Suning,Super League Greece,17,1.2,8.9,1
4056,Ademola Lookman,Left Winger,19,Charlton,French Ligue 1,Everton,Premier League,17,1.5,8.8,1
4057,Steven Defour,Central Midfield,28,RSC Anderlecht,Jupiler Pro League(Belgium),Burnley,Premier League,17,6.0,8.6,2
4058,Alexander Isak,Centre-Forward,17,AIK Solna,Sweden League,Bor. Dortmund,German Bundesliga,17,1.75,8.6,1
