,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
51,51,Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,1,4.8,9.6,2
52,52,Chris Sutton,Centre-Forward,27,Chelsea,Premier League,Celtic,Scottish Premiership,1,4.75,9.5,1
53,53,Claudio Husaín,Defensive Midfield,25,River Plate,Argentina,SSC Napoli,Italy Serie A,1,4.65,9.3,2
54,54,Craig Bellamy,Left Winger,21,Norwich,Premier League,Coventry City,Premier League,1,4.625,9.25,1
55,55,Mark Viduka,Centre-Forward,24,Celtic,Scottish Premiership,Leeds,Premier League,1,4.575,9.15,1
56,56,Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,French Ligue 1,1,4.55,9.1,1
57,57,Alpay Özalan,Centre-Back,27,Fenerbahce,Turkish Super Lig,Aston Villa,Premier League,1,4.5,9.0,3
58,58,Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,1,4.5,9.0,2
59,59,Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,1,4.5,9.0,2
60,60,Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,French Ligue 1,1,4.5,9.0,2
61,61,Lúcio,Centre-Back,22,Internacional,Brazil,Bay. Leverkusen,German Bundesliga,1,4.375,8.75,3
62,62,Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,1,4.375,8.75,2
63,63,Neil Lennon,Central Midfield,29,Leicester,Premier League,Celtic,Scottish Premiership,1,4.315,8.63,2
64,64,John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien(Norway),Valencia CF,LaLiga,1,4.25,8.5,1
65,65,Mario Stanic,Right Winger,28,Parma,Italy Serie A,Chelsea,Premier League,1,4.2,8.4,1
66,66,Igor Biscan,Centre-Back,22,Dinamo Zagreb,Croatian First Football League,Liverpool,Premier League,1,4.125,8.25,3
67,67,Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie League(Nederland),Bologna,Italy Serie A,1,4.1,8.2,1
68,68,Patrick Müller,Centre-Back,23,Grasshoppers,Super League Greece,Olympique Lyon,French Ligue 1,1,4.0,8.0,3
69,69,Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League Greece,Valencia CF,LaLiga,1,4.0,8.0,2
70,70,Sabri Lamouchi,Central Midfield,28,Monaco,French Ligue 1,Parma,Italy Serie A,1,3.925,7.85,2
71,71,Willy Sagnol,Right-Back,23,Monaco,French Ligue 1,Bayern Munich ,German Bundesliga,1,3.85,7.7,3
72,72,Johan Micoud,Attacking Midfield,26,G. Bordeaux,French Ligue 1,Parma,Italy Serie A,1,3.8,7.6,2
73,73,Martín Palermo,Centre-Forward,27,Boca Juniors,Argentina,Villarreal CF,LaLiga,1,3.8,7.6,1
74,74,Ben Thatcher,Left-Back,24,MK Dons,Premier League,Spurs,Premier League,1,3.77,7.54,3
